CODE,VALUE,SYMBOL
1,Acrisols,AC
2,Alisols,AL
3,Andosols,AN
4,Arenosols,AR
5,Anthrosols,AT
6,Chernozems,CH
7,Calcisols,CL
8,Cambisols,CM
9,Fluvisols,FL
10,Ferralsols,FR
11,Gleysols,GL
12,Greyzems,GR
13,Gypsisols,GY
14,Histosols,HS
15,Kastanozems,KS
16,Leptosols,LP
17,Luvisols,LV
18,Lixisols,LX
19,Nitisols,NT
20,Podzoluvisols,PD
21,Phaeozems,PH
22,Planosols,PL
23,Plinthosols,PT
24,Podzols,PZ
25,Regosols,RG
26,Solonchaks,SC
27,Solonetz,SN
28,Vertisols,VR
29,Rock Outcrop,RK
30,Sand Dunes,DS
31,Water Bodies,WR
32,"Urban, mining, etc.",UR
33,Salt Flats,ST
34,No data,NI
35,Glaciers,GG
36,Island,IS
