ID,MU_GLOBAL,COVERAGE,SU_SYMBOL,SU_CODE
37415,66,4,LP,16
37417,67,4,LP,16
37421,71,4,LP,16
37425,72,4,LP,16
37427,79,4,LP,16
37429,80,4,LP,16
37432,81,4,LP,16
37434,82,4,DS,30
37437,85,4,LP,16
37439,87,4,RK,29
37442,91,4,DS,30
37445,92,4,LP,16
37447,93,4,LP,16
37449,95,4,LP,16
37452,97,4,LP,16
37454,99,4,LP,16
37455,103,4,FL,9
37461,109,4,FL,9
37465,111,4,FL,9
37468,119,4,FL,9
37472,120,4,FL,9
37474,123,4,FL,9
37479,125,4,FL,9
37481,132,4,LX,18
37483,135,4,LX,18
37486,136,4,LX,18
37490,138,4,LX,18
37494,139,4,LX,18
37497,142,4,LX,18
37501,143,4,LX,18
37505,144,4,LX,18
37508,145,4,LX,18
37513,146,4,LX,18
37515,153,4,NT,19
37517,161,4,NT,19
37521,164,4,NT,19
37526,165,4,AR,4
37527,168,4,AR,4
37529,169,4,AR,4
37533,171,4,AR,4
37537,172,4,AR,4
37540,173,4,AR,4
37543,181,4,AR,4
37545,185,4,AR,4
37548,186,4,AR,4
37551,187,4,AR,4
37555,190,4,AR,4
37557,191,4,AR,4
37560,192,4,AR,4
37563,193,4,RK,29
37564,195,4,AR,4
37568,224,4,RG,25
37571,225,4,RG,25
37574,232,4,AR,4
37575,233,4,AR,4
37577,238,4,DS,30
37581,242,4,RG,25
37584,243,4,RG,25
37587,251,4,ST,33
37588,255,4,SN,27
37593,256,4,SN,27
37598,262,4,VR,28
37600,283,4,VR,28
37601,285,4,VR,28
37603,290,4,VR,28
37605,292,4,VR,28
37607,293,4,VR,28
37611,295,4,VR,28
37613,300,4,CL,7
37617,318,4,CL,7
37620,320,4,CL,7
37623,322,4,CL,7
37626,329,4,CL,7
37628,333,4,GY,13
37632,336,4,DS,30
37636,339,4,CL,7
37639,340,4,CL,7
37641,341,4,CL,7
37643,343,4,CL,7
37646,360,4,CL,7
37648,361,4,CL,7
37652,363,4,CL,7
37655,366,4,CL,7
37658,372,4,CL,7
37662,374,4,CL,7
37668,376,4,CL,7
37674,379,4,SC,26
37676,380,4,SC,26
37679,381,4,SC,26
37681,390,4,SC,26
37684,391,4,SC,26
37686,423,4,AC,1
37691,424,4,AC,1
37696,436,4,AC,1
37698,437,4,AC,1
37700,440,4,CM,8
37704,445,4,CM,8
37708,450,4,CM,8
37712,463,4,CM,8
37717,464,4,CM,8
37723,480,4,FR,10
37726,481,4,FR,10
37727,482,4,FR,10
37730,483,4,FR,10
37733,485,4,FR,10
37736,488,4,FR,10
37739,489,4,FR,10
37742,490,4,FR,10
37745,491,4,FR,10
37747,492,4,FR,10
37749,494,4,FR,10
37751,495,4,FR,10
37753,509,4,FR,10
37758,522,4,FR,10
37764,533,4,FR,10
37769,534,4,FR,10
37774,537,4,FR,10
37780,538,4,FR,10
37785,540,4,FR,10
37791,542,4,FR,10
37794,544,4,FR,10
37799,546,4,FR,10
37802,548,4,FR,10
37805,549,4,FR,10
37808,551,4,FR,10
37813,552,4,FR,10
37817,554,4,FR,10
37820,555,4,FR,10
37825,556,4,FR,10
37828,557,4,FR,10
37831,564,4,PT,23
37835,569,4,FR,10
37840,570,4,FR,10
37844,572,4,FR,10
46657,575,4,FR,10
37847,580,4,FR,10
37850,583,4,FR,10
37851,584,4,FR,10
37854,593,4,FR,10
37858,594,4,FR,10
37864,598,4,FR,10
37867,600,4,FR,10
37871,602,4,FR,10
37876,604,4,FR,10
37882,605,4,FR,10
37887,606,4,FR,10
37890,607,4,FR,10
37894,608,4,GL,11
37896,609,4,GL,11
37899,610,4,GL,11
37903,612,4,GL,11
37907,615,4,GL,11
37912,616,4,GL,11
37916,618,4,GL,11
37920,620,4,GL,11
37925,621,4,GL,11
37930,624,4,GL,11
37932,626,4,GL,11
37937,627,4,GL,11
37942,628,4,GL,11
37945,630,4,GL,11
37947,638,4,LP,16
46661,640,4,LP,16
37949,642,4,LP,16
37952,643,4,LP,16
37955,644,4,LP,16
37957,649,4,LP,16
37960,652,4,LP,16
37963,656,4,LP,16
37965,658,4,LP,16
37968,673,4,FL,9
37969,674,4,FL,9
37972,676,4,FL,9
37977,677,4,FL,9
37980,679,4,FL,9
37983,681,4,FL,9
37985,686,4,FL,9
37992,688,4,FL,9
37996,691,4,FL,9
